PERIF,KOMMA,PSIFOI2023,PSIFOI2019
Σερρών,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,0,0
Σερρών,ΝΕΑ ΔΟΜΗ,0,0
Σερρών,Κ.Ο.Τ.Ε.Σ.,0,0
Σερρών,Δημοσθένης Βεργής ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,0,0
Σερρών,SOCIAL,0,0
Σερρών,Ανεξάρτητοι,0,0
Σερρών,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,225080,-
Σερρών,ΑΚΥΡΑ,2235,-
Σερρών,ΛΕΥΚΑ,502,-
Σερρών,ΕΓΚΥΡΑ,111289,-
Σερρών,ΣΥΜΜΕΤΟΧΗ,114026,-
Κιλκίς,ΝΔ,22172,23281
Κιλκίς,ΠΑΣΟΚ-Κίνημα Αλλαγής,9469,6163
Κιλκίς,ΣΥΡΙΖΑ-ΠΣ,7450,12765
Κιλκίς,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,3784,2835
Κιλκίς,ΚΚΕ,3518,2777
Κιλκίς,ΝΙΚΗ,2865,0
